doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT04459780,clinicaltrials,Characterization and Functionality of Calcium Channels Cav1.4 of Th17 Lymphocytes in Human With Psoriasis,https://clinicaltrials.gov/study/NCT04459780,plaque_psoriasis,open,,2,si
NCT04515732,clinicaltrials,"Prevalence, Pattern and Disease Course og Arthritis and Enthesitis in Patients With Psoriasis, and Effect of Apremilast in Subclinical, US-defined Psoriatic Arthritis - a Population Based Study Applying Clinical, Ultrasonic, MRI and Patient-reported Outcomes",https://clinicaltrials.gov/study/NCT04515732,apremilast,open,,1,si
NCT04537689,clinicaltrials,Outcomes With Treatment and Withdraw of Ixekizumab in Patients With Plaque Psoriasis Compared to Standard Care --- a Pragmatic Observational Study,https://clinicaltrials.gov/study/NCT04537689,ixekizumab,open,,5,si
NCT04555707,clinicaltrials,The Maintenance Effect of Enstilar Foam in Combination With Otezla,https://clinicaltrials.gov/study/NCT04555707,apremilast,open,,1,si
NCT04572997,clinicaltrials,"A Multicenter, Open Label, Single-arm Pilot Study to Evaluate the Efficacy and Safety of Oral Apremilast in Patients With Moderate to Severe Palmoplantar Pustulosis (PPP) (APLANTUS)",https://clinicaltrials.gov/study/NCT04572997,apremilast,open,,7,si
NCT04610476,clinicaltrials,"A Prospective, Randomized, Controlled, Open Label, Assessor-blinded, Parallel-group Phase III Clinical Trial to Evaluate the Impact of Tapering Systemic Immunosuppressive Therapy in a Treat-to-target Approach on Maintaining Minimal Disease Activity in Adult Subjects With Psoriatic Arthritis",https://clinicaltrials.gov/study/NCT04610476,apremilast; ixekizumab; secukinumab,open,,2,si
NCT04632927,clinicaltrials,"A 28-week, Randomized, Double-blind, Active Controlled, Multicenter Study to Evaluate the Efficacy of Subcutaneously Administered Secukinumab Compared to Ustekinumab in Adult Patients With Psoriatic Arthritis and Failure of TNFα- Inhibitor Treatment (AgAIN)",https://clinicaltrials.gov/study/NCT04632927,secukinumab,open,,6,si
NCT04711343,clinicaltrials,"A Randomized, Double-blinded, Single-dose, 3-arms Parallel, Comparative Study to Evaluate the Pharmacokinetics and Safety of BAT2306 Injection vs Secukinumab Injection (Cosentyx®) in Healthy Chinese Male Subjects",https://clinicaltrials.gov/study/NCT04711343,secukinumab,open,,1,si
NCT04717466,clinicaltrials,"Brain Morphological Changes Accompanied by Effective Biologic Treatments for Psoriasis and Their Associations With the Improvement of Well-being, Itch, and Pain",https://clinicaltrials.gov/study/NCT04717466,secukinumab,open,,4,si
NCT04967950,clinicaltrials,An Efficacy Study of Secukinumab in Enthesitis of Psoriatic Arthritis Patients as Measured by Imaging Test,https://clinicaltrials.gov/study/NCT04967950,secukinumab,open,,1,si
NCT05042635,clinicaltrials,"A Multi-center, Randomized, Double-blind Controlled Study on the Sequential Treatment of Psoriasis With Traditional Chinese and Western Medicine",https://clinicaltrials.gov/study/NCT05042635,ixekizumab,open,,1,si
NCT05049798,clinicaltrials,"Assessment of Guselkumab (Tremfya) and IL-17 Inhibitor Therapies in Patients With Psoriatic Arthritis in Routine Clinical Practice; A Prospective, Observational Cohort Study",https://clinicaltrials.gov/study/NCT05049798,plaque_psoriasis,open,,1,si
NCT05080218,clinicaltrials,The SARS-CoV-2 Vaccine Response and Safety in Rheumatology Patients and the Influence of Temporary Interruptions in Immunomodulatory Therapy,https://clinicaltrials.gov/study/NCT05080218,ixekizumab; secukinumab,open,,3,si
NCT05174065,clinicaltrials,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Apremilast (AMG 407) in Japanese Subjects With Palmoplantar Pustulosis (PPP)",https://clinicaltrials.gov/study/NCT05174065,apremilast,open,,10,si
NCT05215561,clinicaltrials,"A Special Drug Use-results Survey to Evaluate the Safety and Efficacy of Subcutaneous Administration of Cosentyx in Pediatric Patients With Psoriasis Vulgaris, Psoriatic Arthritis, or Pustular Psoriasis",https://clinicaltrials.gov/study/NCT05215561,secukinumab,open,,1,si
