doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT05504291,clinicaltrials,Intravitreal Melphalan for Intraocular Retinoblastoma,https://clinicaltrials.gov/study/NCT05504291,carboplatin; etoposide; melphalan; vincristine,open,,3,si
NCT06424301,clinicaltrials,Targeting NUDT21 siRNA Drugs for Patients With Refractory Retinoblastoma (A Prospective Pilot Study),https://clinicaltrials.gov/study/NCT06424301,retinoblastoma,open,,3,si
NCT06498648,clinicaltrials,Phase I/II Study to Evaluate the Feasibility and Efficacy of Sequential Abemaciclib and Gemcitabine Treatment in Patients With Retinoblastoma (Rb)+ Sarcomas,https://clinicaltrials.gov/study/NCT06498648,retinoblastoma,open,,3,si
NCT06679634,clinicaltrials,Retinoblastoma Phase II Expanded Access Clinical Trial,https://clinicaltrials.gov/study/NCT06679634,topotecan,open,,1,si
NCT06972602,clinicaltrials,High-dose Topotecan for Retinoblastoma With Recurrent or Refractory Vitreous Seed(A Prospective Non-controlled Single Arm Trial),https://clinicaltrials.gov/study/NCT06972602,topotecan,open,,4,si
26896604,pubmed,"Targeting the cyclin D-cyclin-dependent kinase (CDK) 4/6-retinoblastoma pathway with selective CDK 4/6 inhibitors in hormone receptor-positive breast cancer: rationale, current status, and future directions.",https://pubmed.ncbi.nlm.nih.gov/26896604/,retinoblastoma,open,,3,si
33931882,pubmed,Treatment of Retinoblastoma 1-Intact Hepatocellular Carcinoma With Cyclin-Dependent Kinase 4/6 Inhibitor Combination Therapy.,https://pubmed.ncbi.nlm.nih.gov/33931882/,retinoblastoma,abstract_only,10.1002/hep.31872,3,si
34670329,pubmed,"Selective CDK4/6 inhibition of novel 1,2,3-triazole tethered acridinedione derivatives induces G1/S cell cycle transition arrest via Rb phosphorylation blockade in breast cancer models.",https://pubmed.ncbi.nlm.nih.gov/34670329/,retinoblastoma,abstract_only,10.1016/j.bioorg.2021.105377,4,si
35403812,pubmed,Outcome of retinoblastoma treatment protocol in Cameroon as per SIOP-PODC recommendation for a low-income setting.,https://pubmed.ncbi.nlm.nih.gov/35403812/,vincristine,abstract_only,10.1002/pbc.29642,4,si
35654783,pubmed,Induction of autophagy-dependent ferroptosis to eliminate drug-tolerant human retinoblastoma cells.,https://pubmed.ncbi.nlm.nih.gov/35654783/,vincristine,open,10.1038/s41419-022-04974-8,3,si
36316673,pubmed,Chemotherapy induced juvenile dermatomyositis: a novel presentation- a case report.,https://pubmed.ncbi.nlm.nih.gov/36316673/,vincristine,open,10.1186/s12887-022-03704-5,3,si
36326029,pubmed,A typical anterior retinoblastoma: diagnosis by aqueous humor cell-free DNA analysis.,https://pubmed.ncbi.nlm.nih.gov/36326029/,vincristine,abstract_only,10.1080/13816810.2022.2141800,3,si
